Game Title,Red,Black,Odd,Parity,Low,High
Age_Of_The_Gods_Bonus_Roulette,10,8,8,9,10,9
American_Roulette,9,8,8,8,8,9
Auto_Roulette,9,8,10,13,11,11
bet365_Dutch_Roulette,9,10,9,8,10,10
bet365_Roulette,8,11,10,9,11,9
Deutsches_Roulette,16,9,9,13,9,12
Football_French_Roulette,8,8,12,9,6,11
Football_Roulette,8,10,12,9,8,11
French_Roulette,11,12,12,8,13,10
Greek_Quantum_Roulette,12,9,9,11,13,8
Greek_Roulette,10,9,9,8,9,8
Hindi_Roulette,9,11,10,10,8,9
Mega_Fire_Blaze_Roulette_Live,15,8,10,10,9,8
Prestige_Roulette,10,9,10,9,9,9
Quantum_Auto_Roulette,8,10,9,13,9,9
Quantum_Roulette_Italiana,10,9,10,7,9,7
Quantum_Roulette_Live,9,9,12,14,8,10
Roleta_Brasileira,10,8,10,10,9,9
Roulette,10,12,9,8,14,16
Roulette_Italiana,12,8,10,10,9,10
Speed_Auto_Roulette,8,14,7,12,8,9
Speed_Roulette,9,10,11,9,10,9
Spread_Bet_Roulette,8,9,11,16,10,9
Super_Spin_Roulette,9,7,12,11,9,9
Triumph_French_Roulette,8,9,9,7,8,7
Triumph_Roulette,10,9,9,11,11,10
Turkish_Roulette,9,10,11,13,9,10
UK_Roulette,8,12,11,9,10,10
Who_Wants_To_Be_a_Millionaire_Roulette,6,10,8,9,8,9
Zero_test,3,10,3,5,3,8
